,Mean Relative CATE Error (percentage),Method,#Covariates
349,129.1513328540922,BART,2
350,77.78333475311268,BART,4
351,35.4658520139777,BART,4
352,67.23982452814468,BART,4
353,71.77121804232434,BART,4
354,63.66036308504493,BART,4
355,34.22049211006801,BART,4
356,97.01518827639089,BART,4
357,83.9104121579359,BART,4
358,24.2783971329699,BART,4
359,16.233137955307008,BART,4
360,45.86604659838306,BART,4
361,113.8051775665839,BART,4
362,13.362941549818338,BART,4
363,51.19142233493501,BART,4
364,95.0435770140369,BART,4
365,88.44967965500136,BART,4
366,51.69555209916121,BART,4
367,97.72006291575676,BART,4
368,37.74430815581569,BART,4
369,124.05715385273619,BART,4
370,51.668041247606,BART,4
371,43.66169152285396,BART,4
372,46.179127653706715,BART,4
373,1.9216718408567033,BART,4
374,48.80549131153596,BART,4
375,100.95864946774451,BART,4
376,14.804497761232938,BART,4
377,76.40057890229818,BART,4
378,27.06924455418772,BART,4
379,23.088125992589077,BART,4
380,33.29036938514499,BART,4
381,93.7454887836828,BART,4
382,61.77567345951525,BART,4
383,87.25592646011317,BART,4
384,89.47262428812286,BART,4
385,92.57529710762665,BART,4
386,63.83694207618653,BART,4
387,104.17202291611315,BART,4
388,83.64785840952163,BART,4
389,90.11711249656993,BART,4
390,64.83640985799626,BART,4
391,80.45157238049075,BART,4
392,84.90396893008868,BART,4
393,36.48709820718035,BART,4
394,29.430759292263808,BART,4
395,57.321325453638956,BART,4
396,56.07591640523355,BART,4
397,57.6069440614751,BART,4
398,81.95518480813286,BART,4
399,89.97305596777898,BART,4
400,50.94230601495985,BART,8
401,61.93669599176326,BART,8
402,47.17887220134323,BART,8
403,45.22192752239937,BART,8
404,48.95553384378634,BART,8
405,49.09795021594621,BART,8
406,45.74814300948684,BART,8
407,60.119000976655734,BART,8
408,54.1250401233603,BART,8
409,54.04538585296839,BART,8
410,49.42970064203886,BART,8
411,45.236406645829206,BART,8
412,45.984276598878196,BART,8
413,52.138215401560025,BART,8
414,48.33727314521554,BART,8
415,53.406766103204,BART,8
416,39.40275698975692,BART,8
417,54.45343014443529,BART,8
418,48.68027927540535,BART,8
419,40.74074002743607,BART,8
420,43.7381568743968,BART,8
421,49.15734949652326,BART,8
422,46.186014583398865,BART,8
423,46.49318233193643,BART,8
424,38.330941734938484,BART,8
425,60.58093478822712,BART,8
426,48.58624497952454,BART,8
427,52.35678642148628,BART,8
428,50.98037954091221,BART,8
429,49.11061033226887,BART,8
430,47.103353573342275,BART,8
431,41.23649951842013,BART,8
432,59.71577207331295,BART,8
433,55.559317060238655,BART,8
434,46.93265311737292,BART,8
435,51.003250056299784,BART,8
436,55.474815022824224,BART,8
437,54.80323571045035,BART,8
438,44.45903589349767,BART,8
439,50.35974858811992,BART,8
440,44.44176208853107,BART,8
441,51.12880481032948,BART,8
442,55.05139691571997,BART,8
443,55.21747725300103,BART,8
444,46.08418555974811,BART,8
445,51.805914402151444,BART,8
446,44.43880269557549,BART,8
447,52.4232519430362,BART,8
