,Method,Overlap,Overlap (Standardized Difference of Means),Relative CATE Error (percentage)
213,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",4.353325562312237
214,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",15.566666583161199
215,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",23.981150004899142
216,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",17.299130118070973
217,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",31.15103213175141
218,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",34.82451676210535
219,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",0.9891446401042651
220,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",20.280169528313536
221,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",40.768166214222234
222,MALTS,"0.119
 ($\epsilon_t$ = 20.00)","0.119
 ($\epsilon_t$ = 20.00)",2.4288065409442336
