,Mean Relative CATE Error (percentage),Method,#Units
212,23.522389552464563,MALTS,4096
213,23.278895280414535,MALTS,4096
214,20.68947464377628,MALTS,4096
215,23.902250504877653,MALTS,4096
216,19.470573317999396,MALTS,4096
217,22.713286728991488,MALTS,4096
218,22.022952435280143,MALTS,4096
219,22.467969324840524,MALTS,4096
220,21.813917671970767,MALTS,4096
221,22.043113231036894,MALTS,4096
222,20.841500812333916,MALTS,4096
223,21.594642166700254,MALTS,4096
224,23.198770121251467,MALTS,4096
225,23.471289158821588,MALTS,4096
226,22.464690523368198,MALTS,4096
227,23.718366428935617,MALTS,4096
228,23.609871408414804,MALTS,4096
229,23.640049671131663,MALTS,4096
230,20.57842853104905,MALTS,4096
231,23.761172920987363,MALTS,4096
232,22.14599476189962,MALTS,4096
233,21.664402905890483,MALTS,4096
234,22.764889567634388,MALTS,4096
235,21.554912884025683,MALTS,4096
236,20.162128223821277,MALTS,4096
237,20.8890433858928,MALTS,4096
238,20.74771288073533,MALTS,4096
239,22.380066912676245,MALTS,4096
240,23.42598086134918,MALTS,4096
241,21.637999603756203,MALTS,4096
242,20.94563191340783,MALTS,4096
243,21.783282308891604,MALTS,4096
244,21.574382730114984,MALTS,4096
245,21.14712624137993,MALTS,4096
246,24.053931959850882,MALTS,4096
247,21.14136248094014,MALTS,4096
248,19.720220796618882,MALTS,4096
249,21.58026784515149,MALTS,4096
250,81.36250530383191,BART,256
251,89.67808524493817,BART,256
252,79.82614271947801,BART,256
253,80.36032268510797,BART,256
254,77.52243758944522,BART,256
255,84.35687218685165,BART,256
256,83.9364284455894,BART,256
257,82.26799529174967,BART,256
258,93.348668497896,BART,256
259,80.28684842876214,BART,256
260,84.15597036031019,BART,256
261,92.90032183982095,BART,256
262,81.78309112308249,BART,256
263,73.11557929870251,BART,256
264,74.31004149438576,BART,256
265,90.21548580409967,BART,256
266,85.1411504144917,BART,256
267,84.8686105181357,BART,256
268,84.9347631843662,BART,256
269,83.48183108571253,BART,256
270,83.70841612873636,BART,256
271,94.7635015444069,BART,256
272,83.76989413831339,BART,256
273,76.6957059183172,BART,256
274,87.99043571518024,BART,256
275,84.86841764258703,BART,256
276,81.11896872061543,BART,256
277,77.03030535054532,BART,256
278,84.29381149742656,BART,256
279,84.09755238052297,BART,256
280,87.82693573423182,BART,256
281,77.66821272918166,BART,256
282,75.0885999287954,BART,256
283,83.03824174550007,BART,256
284,84.883132081725,BART,256
285,91.23206932413147,BART,256
286,74.16083327773788,BART,256
287,79.94353569551069,BART,256
288,82.87381234302218,BART,256
289,85.61778358112294,BART,256
290,84.84284885721486,BART,256
291,84.67964696273806,BART,256
292,76.50221881247124,BART,256
293,90.43752079347634,BART,256
294,86.62088671434792,BART,256
295,87.27335734445194,BART,256
296,92.16285466866408,BART,256
297,79.60086824821748,BART,256
298,86.69420315991366,BART,256
299,88.71953093367266,BART,256
300,59.687615612515685,BART,512
301,57.296723435067115,BART,512
302,66.41444147213686,BART,512
303,55.58122297203729,BART,512
304,57.831170612344195,BART,512
305,60.924567833236914,BART,512
306,58.61272743327053,BART,512
307,60.129767530627205,BART,512
308,55.616083202527015,BART,512
309,61.728615939204985,BART,512
310,64.74140322994513,BART,512
311,52.52985563789213,BART,512
312,58.580364787734965,BART,512
313,55.52008220693164,BART,512
314,66.04649107925732,BART,512
315,59.941495015417644,BART,512
316,52.44314829393967,BART,512
317,60.28109361464891,BART,512
318,51.73165918072223,BART,512
319,48.648743001771265,BART,512
320,62.73946465350775,BART,512
321,66.3316166402057,BART,512
322,51.47636729024998,BART,512
323,61.58723222001502,BART,512
324,63.556685161491956,BART,512
325,63.80698687251843,BART,512
326,62.79990964692004,BART,512
327,57.54080150375406,BART,512
328,58.68833226138784,BART,512
329,63.612215697439275,BART,512
330,58.033304743430605,BART,512
331,60.36719384161885,BART,512
332,63.491469660685766,BART,512
333,54.05352331227889,BART,512
334,63.13127736535914,BART,512
335,60.011345334595724,BART,512
336,67.35587858524057,BART,512
337,60.74259467133801,BART,512
338,58.55560084098544,BART,512
339,57.539149877356884,BART,512
340,64.58868686927272,BART,512
341,56.471146710183994,BART,512
342,54.63781638839531,BART,512
343,54.70587215525582,BART,512
344,57.96737458827708,BART,512
345,54.465376380135474,BART,512
346,52.638317744538924,BART,512
347,50.71049312864541,BART,512
348,48.538982610880765,BART,512
349,59.34227007242538,BART,512
350,54.85084583521671,BART,1024
351,53.210910431679594,BART,1024
352,51.47867876780154,BART,1024
353,43.47196765710387,BART,1024
354,48.340916989854115,BART,1024
355,52.12124470914384,BART,1024
356,50.21993453443395,BART,1024
357,47.35163175262561,BART,1024
358,44.43652326935238,BART,1024
359,55.30938778303223,BART,1024
360,50.26251101868254,BART,1024
361,44.876193106655734,BART,1024
362,41.55544517966301,BART,1024
363,41.50763849694221,BART,1024
364,53.54512436173927,BART,1024
365,52.60764881618545,BART,1024
366,49.34197534124194,BART,1024
367,47.05999199871763,BART,1024
368,45.37039445265797,BART,1024
369,56.22584495773243,BART,1024
370,54.02252143608656,BART,1024
371,48.504660993268125,BART,1024
372,50.12302749918121,BART,1024
373,49.02709197618411,BART,1024
374,46.56047463525691,BART,1024
375,48.99475820267535,BART,1024
376,45.23531073420918,BART,1024
